ParkName	Rank	Value	PercentOfTotal
Golden Gate NRA	1	15638777	4.73
Blue Ridge PKWY	2	15175578	4.59
Great Smoky Mountains NP	3	11312786	3.42
George Washington MEM PKWY	4	10323339	3.12
Gateway NRA	5	8651770	2.61
Lincoln Memorial	6	7915934	2.39
Lake Mead NRA	7	7175891	2.17
Grand Canyon NP	8	5969811	1.80
Natchez Trace PKWY	9	5891315	1.78
Vietnam Veterans MEM	10	5299713	1.60
Independence NHP	11	5067510	1.53
Yosemite NP	12	5028868	1.52
World War II Memorial	13	4856532	1.47
Chesapeake & Ohio Canal NHP	14	4813078	1.45
Castle Clinton NM	15	4812930	1.45
Gulf Islands NS	16	4771309	1.44
Cape Cod NS	17	4692796	1.42
Rocky Mountain NP	18	4517585	1.36
Statue of Liberty NM	19	4501547	1.36
Franklin Delano Roosevelt MEM	20	4360502	1.32
San Francisco Maritime NHP	21	4334752	1.31
Zion NP	22	4295127	1.30
Yellowstone NP	23	4257177	1.29
Korean War Veterans Memorial	24	4084298	1.23
Delaware Water Gap NRA	25	3677744	1.11
Martin Luther King Jr. Memorial	26	3638208	1.10
Thomas Jefferson MEM	27	3414345	1.03
Olympic NP	28	3390221	1.02
Colonial NHP	29	3352656	1.01
Acadia NP	30	3303393	1.00
Grand Teton NP	31	3270076	0.99
Glen Canyon NRA	32	3239525	0.98
Glacier NP	33	2946681	0.89
Chattahoochee River NRA	34	2736385	0.83
Boston NHP	35	2594495	0.78
Joshua Tree NP	36	2505286	0.76
Rock Creek Park	37	2478735	0.75
Point Reyes NS	38	2438442	0.74
Mount Rushmore NMEM	39	2431231	0.73
Valley Forge NHP	40	2428724	0.73
Cuyahoga Valley NP	41	2423390	0.73
Cape Hatteras NS	42	2411711	0.73
Bryce Canyon NP	43	2365110	0.71
Kennesaw Mountain NBP	44	2360256	0.71
Assateague Island NS	45	2267821	0.69
Fort Point NHS	46	2264154	0.68
Hawaii Volcanoes NP	47	1887580	0.57
World War II Valor in the Pacific NM	48	1819020	0.55
National Capital Parks Central	49	1813222	0.55
Buffalo NR	50	1785359	0.54
Indiana Dunes NL	51	1698223	0.51
Sleeping Bear Dunes NL	52	1683553	0.51
Chickasaw NRA	53	1676421	0.51
Canaveral NS	54	1629944	0.49
Arches NP	55	1585718	0.48
Hot Springs NP	56	1544300	0.47
San Juan NHS	57	1456553	0.44
Shenandoah NP	58	1437341	0.43
John D. Rockefeller Jr. MEM PKWY	59	1411819	0.43
San Antonio Missions NHP	60	1358911	0.41
Mount Rainier NP	61	1356913	0.41
Death Valley NP	62	1296283	0.39
Jefferson NEM	63	1271855	0.38
Haleakala NP	64	1263558	0.38
Sequoia NP	65	1254688	0.38
Lake Roosevelt NRA	66	1253571	0.38
Ozark NSR	67	1241480	0.38
National Capital Parks East	68	1224671	0.37
New River Gorge NR	69	1197931	0.36
Amistad NRA	70	1164530	0.35
Timucuan EHP	71	1148494	0.35
Muir Woods NM	72	1123121	0.34
Big Cypress NPRES	73	1102148	0.33
Fort Vancouver NHS	74	1092031	0.33
Gettysburg NMP	75	1091320	0.33
Capitol Reef NP	76	1064904	0.32
Arlington House The R.E. Lee MEM	77	1057500	0.32
Minute Man NHP	78	1049414	0.32
Chickamauga & Chattanooga NMP	79	1027738	0.31
Lake Meredith NRA	80	1025613	0.31
Badlands NP	81	996263	0.30
President's Park	82	989424	0.30
Curecanti NRA	83	982498	0.30
Fredericksburg & Spotsylvania NMP	84	969895	0.29
Cabrillo NM	85	959145	0.29
Everglades NP	86	930907	0.28
