ParkName,Rank,Value,PercentOfTotal
Golden Gate NRA,1,"15,638,777",4.73%
Blue Ridge PKWY,2,"15,175,578",4.59%
Great Smoky Mountains NP,3,"11,312,786",3.42%
George Washington MEM PKWY,4,"10,323,339",3.12%
Gateway NRA,5,"8,651,770",2.61%
Lincoln Memorial,6,"7,915,934",2.39%
Lake Mead NRA,7,"7,175,891",2.17%
Grand Canyon NP,8,"5,969,811",1.80%
Natchez Trace PKWY,9,"5,891,315",1.78%
Vietnam Veterans MEM,10,"5,299,713",1.60%
Independence NHP,11,"5,067,510",1.53%
Yosemite NP,12,"5,028,868",1.52%
World War II Memorial,13,"4,856,532",1.47%
Chesapeake & Ohio Canal NHP,14,"4,813,078",1.45%
Castle Clinton NM,15,"4,812,930",1.45%
Gulf Islands NS,16,"4,771,309",1.44%
Cape Cod NS,17,"4,692,796",1.42%
Rocky Mountain NP,18,"4,517,585",1.36%
Statue of Liberty NM,19,"4,501,547",1.36%
Franklin Delano Roosevelt MEM,20,"4,360,502",1.32%
San Francisco Maritime NHP,21,"4,334,752",1.31%
Zion NP,22,"4,295,127",1.30%
Yellowstone NP,23,"4,257,177",1.29%
Korean War Veterans Memorial,24,"4,084,298",1.23%
Delaware Water Gap NRA,25,"3,677,744",1.11%
"Martin Luther King, Jr. Memorial",26,"3,638,208",1.10%
Thomas Jefferson MEM,27,"3,414,345",1.03%
Olympic NP,28,"3,390,221",1.02%
Colonial NHP,29,"3,352,656",1.01%
Acadia NP,30,"3,303,393",1.00%
Grand Teton NP,31,"3,270,076",0.99%
Glen Canyon NRA,32,"3,239,525",0.98%
Glacier NP,33,"2,946,681",0.89%
Chattahoochee River NRA,34,"2,736,385",0.83%
Boston NHP,35,"2,594,495",0.78%
Joshua Tree NP,36,"2,505,286",0.76%
Rock Creek Park,37,"2,478,735",0.75%
Point Reyes NS,38,"2,438,442",0.74%
Mount Rushmore NMEM,39,"2,431,231",0.73%
Valley Forge NHP,40,"2,428,724",0.73%
Cuyahoga Valley NP,41,"2,423,390",0.73%
Cape Hatteras NS,42,"2,411,711",0.73%
Bryce Canyon NP,43,"2,365,110",0.71%
Kennesaw Mountain NBP,44,"2,360,256",0.71%
Assateague Island NS,45,"2,267,821",0.69%
Fort Point NHS,46,"2,264,154",0.68%
Hawaii Volcanoes NP,47,"1,887,580",0.57%
World War II Valor in the Pacific NM,48,"1,819,020",0.55%
National Capital Parks Central,49,"1,813,222",0.55%
Buffalo NR,50,"1,785,359",0.54%
Indiana Dunes NL,51,"1,698,223",0.51%
Sleeping Bear Dunes NL,52,"1,683,553",0.51%
Chickasaw NRA,53,"1,676,421",0.51%
Canaveral NS,54,"1,629,944",0.49%
Arches NP,55,"1,585,718",0.48%
Hot Springs NP,56,"1,544,300",0.47%
San Juan NHS,57,"1,456,553",0.44%
Shenandoah NP,58,"1,437,341",0.43%
"John D. Rockefeller, Jr. MEM PKWY",59,"1,411,819",0.43%
San Antonio Missions NHP,60,"1,358,911",0.41%
Mount Rainier NP,61,"1,356,913",0.41%
Death Valley NP,62,"1,296,283",0.39%
Jefferson NEM,63,"1,271,855",0.38%
Haleakala NP,64,"1,263,558",0.38%
Sequoia NP,65,"1,254,688",0.38%
Lake Roosevelt NRA,66,"1,253,571",0.38%
Ozark NSR,67,"1,241,480",0.38%
National Capital Parks East,68,"1,224,671",0.37%
